"sex","race","age_x","N_t1","N_t2","D"
"Female","All_races",0,6779049,6321469,18110.4
"Female","All_races",5,7345102,6828016,1451.4
"Female","All_races",10,8441197,6940109,1882.2
"Female","All_races",15,8431857,7258779,3841.4
"Female","All_races",20,8614739,7825820,4760.7
"Female","All_races",25,8643215,7949993,5721.6
"Female","All_races",30,8026669,7935133,7788.9
"Female","All_races",35,7121770,8111244,10351.3
"Female","All_races",40,6688667,7983219,13653.4
"Female","All_races",45,6141245,6905627,18605.7
"Female","All_races",50,5305296,6338588,25016.1
"Female","All_races",55,4373797,5800630,32273.2
"Female","All_races",60,3468024,4960712,40031.5
"Female","All_races",65,2616706,3945002,47516.9
"Female","All_races",70,2074245,3007842,55350.3
"Female","All_races",75,1472909,2047948,64846.1
"Female","All_races",80,1802430,2622089,209195.4
"Female","Asian",0,58229,17012,31.1
"Female","Asian",5,68666,20513,3.2
"Female","Asian",10,83096,22923,3.6
"Female","Asian",15,98554,27961,9.3
"Female","Asian",20,113016,33472,11.3
"Female","Asian",25,114424,34649,15.7
"Female","Asian",30,101976,36562,21
"Female","Asian",35,84952,39741,31.8
"Female","Asian",40,77054,41242,43.7
"Female","Asian",45,68290,35956,61.9
"Female","Asian",50,57829,33252,89.5
"Female","Asian",55,51567,32518,129.8
"Female","Asian",60,45536,30687,189.2
"Female","Asian",65,36580,29398,248.6
"Female","Asian",70,29362,27737,329.8
"Female","Asian",75,19985,21412,442.5
"Female","Asian",80,23768,28769,1826.9
"Female","Black",0,312808,377796,512.7
"Female","Black",5,416675,482408,73
"Female","Black",10,543132,530327,111.5
"Female","Black",15,593284,649493,268.9
"Female","Black",20,649875,785034,387.2
"Female","Black",25,677637,815900,537.8
"Female","Black",30,635172,796897,776.4
"Female","Black",35,548550,822386,1087.3
"Female","Black",40,516284,810525,1464.3
"Female","Black",45,469221,696243,1978.6
"Female","Black",50,420659,633323,2635.9
"Female","Black",55,342815,560845,3307.9
"Female","Black",60,270201,480249,3887.4
"Female","Black",65,202740,374635,4250.4
"Female","Black",70,157400,277522,4556.1
"Female","Black",75,108261,179423,4720.3
"Female","Black",80,126636,220326,12747
"Female","Brown",0,3035228,2939506,8925.5
"Female","Brown",5,3546190,3376636,729.2
"Female","Brown",10,4193353,3530692,947.4
"Female","Brown",15,4011320,3580497,1977.1
"Female","Brown",20,3861205,3741853,2362
"Female","Brown",25,3741292,3739752,2768.7
"Female","Brown",30,3449954,3664582,3692.2
"Female","Brown",35,3008236,3678291,4820
"Female","Brown",40,2728647,3526672,6155.7
"Female","Brown",45,2388538,3000940,8067.9
"Female","Brown",50,2008079,2666889,10289.4
"Female","Brown",55,1612099,2348493,12607.7
"Female","Brown",60,1240332,1927226,14869.5
"Female","Brown",65,918521,1470936,16996.6
"Female","Brown",70,693800,1063412,18765.6
"Female","Brown",75,454662,683477,20546.1
"Female","Brown",80,524013,809352,56235.2
"Female","Indigenous",0,49920,65057,415.6
"Female","Indigenous",5,49185,62974,28.7
"Female","Indigenous",10,46737,59819,33.5
"Female","Indigenous",15,40883,56741,51
"Female","Indigenous",20,35854,52086,41.1
"Female","Indigenous",25,32074,45101,36.5
"Female","Indigenous",30,28041,39519,42.7
"Female","Indigenous",35,23759,36368,46.6
"Female","Indigenous",40,20288,32096,49.2
"Female","Indigenous",45,17918,26748,53.6
"Female","Indigenous",50,14801,22685,61
"Female","Indigenous",55,12968,19988,73.1
"Female","Indigenous",60,10680,16617,77.6
"Female","Indigenous",65,8578,13191,92.6
"Female","Indigenous",70,6246,9707,117.3
"Female","Indigenous",75,4150,6934,123.8
"Female","Indigenous",80,5974,9613,394.3
"Female","White",0,3322864,2922098,8225.5
"Female","White",5,3264386,2885485,617.3
"Female","White",10,3574879,2796348,786.2
"Female","White",15,3687816,2944087,1535.1
"Female","White",20,3954789,3213375,1959.1
"Female","White",25,4077788,3314591,2362.9
"Female","White",30,3811526,3397573,3256.6
"Female","White",35,3456273,3534458,4365.6
"Female","White",40,3346394,3572684,5940.5
"Female","White",45,3197278,3145740,8443.7
"Female","White",50,2803928,2982439,11940.3
"Female","White",55,2354348,2838786,16154.7
"Female","White",60,1901275,2505933,21007.8
"Female","White",65,1450287,2056842,25928.7
"Female","White",70,1187437,1629464,31581.5
"Female","White",75,885851,1156702,39013.4
"Female","White",80,1122039,1554029,137992
"Male","All_races",0,7016884,6543897,22428.1
"Male","All_races",5,7624032,7103578,1942.6
"Male","All_races",10,8725244,7248931,3014.4
"Male","All_races",15,8558694,7500455,16294.4
"Male","All_races",20,8629360,7887909,22760.6
"Male","All_races",25,8459959,7743239,21374.8
"Male","All_races",30,7716880,7554451,22107.4
"Male","All_races",35,6766186,7626214,23761.4
"Male","All_races",40,6320236,7501297,27081.5
"Male","All_races",45,5691776,6379794,33790.9
"Male","All_races",50,4834848,5785515,43639.2
"Male","All_races",55,3902243,5121409,53370.2
"Male","All_races",60,3040969,4291222,61925.2
"Male","All_races",65,2224018,3309692,67355.6
"Male","All_races",70,1667347,2424367,70845.2
"Male","All_races",75,1090505,1544921,71799.9
"Male","All_races",80,1133093,1633623,155836.7
"Male","Asian",0,61727,17764,46.5
"Male","Asian",5,70877,21653,4.1
"Male","Asian",10,78357,23157,5.1
"Male","Asian",15,78454,25465,26.4
"Male","Asian",20,87044,29022,36.6
"Male","Asian",25,88309,30234,36.9
"Male","Asian",30,80174,32464,44
"Male","Asian",35,67594,35238,55.9
"Male","Asian",40,62176,36840,71.2
"Male","Asian",45,56374,31588,99.8
"Male","Asian",50,48710,29837,139.4
"Male","Asian",55,43582,28448,213.6
"Male","Asian",60,38925,26791,300.8
"Male","Asian",65,31058,25511,398.2
"Male","Asian",70,25314,23493,509.2
"Male","Asian",75,16074,17398,571.7
"Male","Asian",80,16655,20227,1497.9
"Male","Black",0,343150,397565,631.8
"Male","Black",5,470534,514589,97
"Male","Black",10,612340,586722,206.1
"Male","Black",15,670899,729402,1325.4
"Male","Black",20,731802,877968,1913.5
"Male","Black",25,766183,904902,1883.7
"Male","Black",30,725126,879458,2094.1
"Male","Black",35,626783,893322,2379
"Male","Black",40,579017,885574,2789.2
"Male","Black",45,503517,744850,3462.8
"Male","Black",50,427439,657374,4437
"Male","Black",55,332589,548907,5269.7
"Male","Black",60,251662,445580,5841.2
"Male","Black",65,181884,329760,5940.8
"Male","Black",70,132658,232579,5800
"Male","Black",75,84265,143034,5361.4
"Male","Black",80,86763,149863,10287
"Male","Brown",0,3182410,3055582,11480.5
"Male","Brown",5,3733793,3522006,1021.7
"Male","Brown",10,4364599,3700723,1688.5
"Male","Brown",15,4143806,3767405,10354.4
"Male","Brown",20,3953282,3810177,14004.3
"Male","Brown",25,3714110,3632385,12696.1
"Male","Brown",30,3350221,3474117,12546.9
"Male","Brown",35,2907537,3492929,12875
"Male","Brown",40,2639412,3371661,13840.5
"Male","Brown",45,2258667,2832499,16049.4
"Male","Brown",50,1861713,2488955,19043.6
"Male","Brown",55,1464531,2110682,21617.5
"Male","Brown",60,1121666,1710377,23582.6
"Male","Brown",65,816549,1283790,24563.3
"Male","Brown",70,595091,906609,24832.9
"Male","Brown",75,371657,557269,24048.3
"Male","Brown",80,382820,571655,49004.1
"Male","Indigenous",0,51275,67080,498.2
"Male","Indigenous",5,50656,65754,30.9
"Male","Indigenous",10,48089,62089,38.5
"Male","Indigenous",15,41617,58522,91.6
"Male","Indigenous",20,37533,52774,101.3
"Male","Indigenous",25,33030,44693,87
"Male","Indigenous",30,28285,38750,81.6
"Male","Indigenous",35,24408,35780,82.1
"Male","Indigenous",40,20662,31763,85
"Male","Indigenous",45,17727,26618,86.9
"Male","Indigenous",50,14355,22073,95
"Male","Indigenous",55,11832,18414,92.5
"Male","Indigenous",60,9397,15134,112.7
"Male","Indigenous",65,7407,11509,120.4
"Male","Indigenous",70,5635,8389,134.4
"Male","Indigenous",75,3678,5410,141
"Male","Indigenous",80,4321,6718,389.4
"Male","White",0,3378322,3005906,9771.1
"Male","White",5,3298172,2979576,788.9
"Male","White",10,3621859,2876240,1076.2
"Male","White",15,3623918,2919661,4496.6
"Male","White",20,3819699,3117968,6704.9
"Male","White",25,3858327,3131025,6671.1
"Male","White",30,3533074,3129662,7340.8
"Male","White",35,3139864,3168945,8369.4
"Male","White",40,3018969,3175459,10295.6
"Male","White",45,2855491,2744239,14092
"Male","White",50,2482631,2587276,19924.2
"Male","White",55,2049709,2414958,26176.9
"Male","White",60,1619319,2093340,32087.9
"Male","White",65,1187120,1659122,36332.9
"Male","White",70,908649,1253297,39568.7
"Male","White",75,614831,821810,41677.5
"Male","White",80,642534,885160,94658.3
