"sex","race","age_x","N_t1","N_t2","D"
"Female","Asian",0,2758,261,2.9
"Female","Asian",5,3119,267,0.1
"Female","Asian",10,3917,345,0.4
"Female","Asian",15,4479,523,0.6
"Female","Asian",20,4753,512,0.6
"Female","Asian",25,4220,531,0.8
"Female","Asian",30,3500,560,0.7
"Female","Asian",35,2755,541,0.8
"Female","Asian",40,2463,464,1
"Female","Asian",45,2122,312,1.7
"Female","Asian",50,1680,304,1.8
"Female","Asian",55,1388,236,3.1
"Female","Asian",60,1124,183,5
"Female","Asian",65,896,188,4.4
"Female","Asian",70,773,144,5.2
"Female","Asian",75,444,77,7.8
"Female","Asian",80,494,74,21.6
"Female","Black",0,17538,17645,20.3
"Female","Black",5,21533,21904,4.9
"Female","Black",10,26405,25189,6.5
"Female","Black",15,28161,29248,15.5
"Female","Black",20,30558,31947,21.4
"Female","Black",25,28869,31647,23.8
"Female","Black",30,25065,32369,31
"Female","Black",35,20975,33084,39.9
"Female","Black",40,19887,31008,45.6
"Female","Black",45,17717,26558,65
"Female","Black",50,15510,24120,81.3
"Female","Black",55,13477,22338,98.5
"Female","Black",60,10942,18644,116.3
"Female","Black",65,8892,15150,130
"Female","Black",70,6957,11410,146.2
"Female","Black",75,4691,7420,159.2
"Female","Black",80,5507,9760,415.6
"Female","Brown",0,212271,178671,605.6
"Female","Brown",5,230591,193760,52.7
"Female","Brown",10,250017,208719,62.4
"Female","Brown",15,230688,213070,117.1
"Female","Brown",20,220757,200120,131.1
"Female","Brown",25,199179,183089,162.3
"Female","Brown",30,165393,180302,212.7
"Female","Brown",35,131947,177347,240
"Female","Brown",40,116116,157072,279
"Female","Brown",45,100898,125285,346.2
"Female","Brown",50,85412,107565,437.4
"Female","Brown",55,72398,96057,540.8
"Female","Brown",60,55262,76572,665.7
"Female","Brown",65,43235,59720,764
"Female","Brown",70,33056,44018,870.3
"Female","Brown",75,21355,28703,928.6
"Female","Brown",80,25418,36334,2402.8
"Female","Indigenous",0,2736,3854,29.7
"Female","Indigenous",5,2569,3540,2.2
"Female","Indigenous",10,2240,3063,1.8
"Female","Indigenous",15,1793,2728,3.3
"Female","Indigenous",20,1543,2331,2.2
"Female","Indigenous",25,1379,1786,2.2
"Female","Indigenous",30,1164,1587,2.7
"Female","Indigenous",35,920,1343,2.5
"Female","Indigenous",40,604,1181,2.5
"Female","Indigenous",45,549,904,2.1
"Female","Indigenous",50,375,646,2.3
"Female","Indigenous",55,313,553,3.3
"Female","Indigenous",60,371,446,2.4
"Female","Indigenous",65,366,353,2.3
"Female","Indigenous",70,284,310,6.2
"Female","Indigenous",75,143,314,4.3
"Female","Indigenous",80,316,496,20.1
"Female","White",0,77603,62662,152.1
"Female","White",5,72068,57430,13.7
"Female","White",10,74996,57916,18.4
"Female","White",15,74115,61277,31.7
"Female","White",20,72334,58278,34.4
"Female","White",25,67924,53627,40.3
"Female","White",30,59605,52824,52.9
"Female","White",35,49018,54013,61.3
"Female","White",40,43215,50270,66.4
"Female","White",45,36482,41430,89.8
"Female","White",50,30693,36547,110.3
"Female","White",55,25219,31999,147.3
"Female","White",60,20592,26598,186.5
"Female","White",65,16598,22008,242.6
"Female","White",70,14105,17862,308.6
"Female","White",75,10118,13039,377.3
