"sex","race","age_x","D"
"Female","All_races",0,18110.4
"Female","All_races",5,1451.4
"Female","All_races",10,1882.2
"Female","All_races",15,3841.4
"Female","All_races",20,4760.7
"Female","All_races",25,5721.6
"Female","All_races",30,7788.9
"Female","All_races",35,10351.3
"Female","All_races",40,13653.4
"Female","All_races",45,18605.7
"Female","All_races",50,25016.1
"Female","All_races",55,32273.2
"Female","All_races",60,40031.5
"Female","All_races",65,47516.9
"Female","All_races",70,55350.3
"Female","All_races",75,64846.1
"Female","All_races",80,209195.4
"Female","Asian",0,31.1
"Female","Asian",5,3.2
"Female","Asian",10,3.6
"Female","Asian",15,9.3
"Female","Asian",20,11.3
"Female","Asian",25,15.7
"Female","Asian",30,21
"Female","Asian",35,31.8
"Female","Asian",40,43.7
"Female","Asian",45,61.9
"Female","Asian",50,89.5
"Female","Asian",55,129.8
"Female","Asian",60,189.2
"Female","Asian",65,248.6
"Female","Asian",70,329.8
"Female","Asian",75,442.5
"Female","Asian",80,1826.9
"Female","Black",0,512.7
"Female","Black",5,73
"Female","Black",10,111.5
"Female","Black",15,268.9
"Female","Black",20,387.2
"Female","Black",25,537.8
"Female","Black",30,776.4
"Female","Black",35,1087.3
"Female","Black",40,1464.3
"Female","Black",45,1978.6
"Female","Black",50,2635.9
"Female","Black",55,3307.9
"Female","Black",60,3887.4
"Female","Black",65,4250.4
"Female","Black",70,4556.1
"Female","Black",75,4720.3
"Female","Black",80,12747
"Female","Brown",0,8925.5
"Female","Brown",5,729.2
"Female","Brown",10,947.4
"Female","Brown",15,1977.1
"Female","Brown",20,2362
"Female","Brown",25,2768.7
"Female","Brown",30,3692.2
"Female","Brown",35,4820
"Female","Brown",40,6155.7
"Female","Brown",45,8067.9
"Female","Brown",50,10289.4
"Female","Brown",55,12607.7
"Female","Brown",60,14869.5
"Female","Brown",65,16996.6
"Female","Brown",70,18765.6
"Female","Brown",75,20546.1
"Female","Brown",80,56235.2
"Female","Indigenous",0,415.6
"Female","Indigenous",5,28.7
"Female","Indigenous",10,33.5
"Female","Indigenous",15,51
"Female","Indigenous",20,41.1
"Female","Indigenous",25,36.5
"Female","Indigenous",30,42.7
"Female","Indigenous",35,46.6
"Female","Indigenous",40,49.2
"Female","Indigenous",45,53.6
"Female","Indigenous",50,61
"Female","Indigenous",55,73.1
"Female","Indigenous",60,77.6
"Female","Indigenous",65,92.6
"Female","Indigenous",70,117.3
"Female","Indigenous",75,123.8
"Female","Indigenous",80,394.3
"Female","White",0,8225.5
"Female","White",5,617.3
"Female","White",10,786.2
"Female","White",15,1535.1
"Female","White",20,1959.1
"Female","White",25,2362.9
"Female","White",30,3256.6
"Female","White",35,4365.6
"Female","White",40,5940.5
"Female","White",45,8443.7
"Female","White",50,11940.3
"Female","White",55,16154.7
"Female","White",60,21007.8
"Female","White",65,25928.7
"Female","White",70,31581.5
"Female","White",75,39013.4
"Female","White",80,137992
"Male","All_races",0,22428.1
"Male","All_races",5,1942.6
"Male","All_races",10,3014.4
"Male","All_races",15,16294.4
"Male","All_races",20,22760.6
"Male","All_races",25,21374.8
"Male","All_races",30,22107.4
"Male","All_races",35,23761.4
"Male","All_races",40,27081.5
"Male","All_races",45,33790.9
"Male","All_races",50,43639.2
"Male","All_races",55,53370.2
"Male","All_races",60,61925.2
"Male","All_races",65,67355.6
"Male","All_races",70,70845.2
"Male","All_races",75,71799.9
"Male","All_races",80,155836.7
"Male","Asian",0,46.5
"Male","Asian",5,4.1
"Male","Asian",10,5.1
"Male","Asian",15,26.4
"Male","Asian",20,36.6
"Male","Asian",25,36.9
"Male","Asian",30,44
"Male","Asian",35,55.9
"Male","Asian",40,71.2
"Male","Asian",45,99.8
"Male","Asian",50,139.4
"Male","Asian",55,213.6
"Male","Asian",60,300.8
"Male","Asian",65,398.2
"Male","Asian",70,509.2
"Male","Asian",75,571.7
"Male","Asian",80,1497.9
"Male","Black",0,631.8
"Male","Black",5,97
"Male","Black",10,206.1
"Male","Black",15,1325.4
"Male","Black",20,1913.5
"Male","Black",25,1883.7
"Male","Black",30,2094.1
"Male","Black",35,2379
"Male","Black",40,2789.2
"Male","Black",45,3462.8
"Male","Black",50,4437
"Male","Black",55,5269.7
"Male","Black",60,5841.2
"Male","Black",65,5940.8
"Male","Black",70,5800
"Male","Black",75,5361.4
"Male","Black",80,10287
"Male","Brown",0,11480.5
"Male","Brown",5,1021.7
"Male","Brown",10,1688.5
"Male","Brown",15,10354.4
"Male","Brown",20,14004.3
"Male","Brown",25,12696.1
"Male","Brown",30,12546.9
"Male","Brown",35,12875
"Male","Brown",40,13840.5
"Male","Brown",45,16049.4
"Male","Brown",50,19043.6
"Male","Brown",55,21617.5
"Male","Brown",60,23582.6
"Male","Brown",65,24563.3
"Male","Brown",70,24832.9
"Male","Brown",75,24048.3
"Male","Brown",80,49004.1
"Male","Indigenous",0,498.2
"Male","Indigenous",5,30.9
"Male","Indigenous",10,38.5
"Male","Indigenous",15,91.6
"Male","Indigenous",20,101.3
"Male","Indigenous",25,87
"Male","Indigenous",30,81.6
"Male","Indigenous",35,82.1
"Male","Indigenous",40,85
"Male","Indigenous",45,86.9
"Male","Indigenous",50,95
"Male","Indigenous",55,92.5
"Male","Indigenous",60,112.7
"Male","Indigenous",65,120.4
"Male","Indigenous",70,134.4
"Male","Indigenous",75,141
"Male","Indigenous",80,389.4
"Male","White",0,9771.1
"Male","White",5,788.9
"Male","White",10,1076.2
"Male","White",15,4496.6
"Male","White",20,6704.9
"Male","White",25,6671.1
"Male","White",30,7340.8
"Male","White",35,8369.4
"Male","White",40,10295.6
"Male","White",45,14092
"Male","White",50,19924.2
"Male","White",55,26176.9
"Male","White",60,32087.9
"Male","White",65,36332.9
"Male","White",70,39568.7
"Male","White",75,41677.5
"Male","White",80,94658.3
