"sex","race","age_x","D"
"Female","All_races",0,810.6
"Female","All_races",5,73.6
"Female","All_races",10,89.5
"Female","All_races",15,168.2
"Female","All_races",20,189.7
"Female","All_races",25,229.4
"Female","All_races",30,300
"Female","All_races",35,344.5
"Female","All_races",40,394.5
"Female","All_races",45,504.8
"Female","All_races",50,633.1
"Female","All_races",55,793
"Female","All_races",60,975.9
"Female","All_races",65,1143.3
"Female","All_races",70,1336.5
"Female","All_races",75,1477.2
"Female","All_races",80,4113.4
"Female","Asian",0,2.9
"Female","Asian",5,0.1
"Female","Asian",10,0.4
"Female","Asian",15,0.6
"Female","Asian",20,0.6
"Female","Asian",25,0.8
"Female","Asian",30,0.7
"Female","Asian",35,0.8
"Female","Asian",40,1
"Female","Asian",45,1.7
"Female","Asian",50,1.8
"Female","Asian",55,3.1
"Female","Asian",60,5
"Female","Asian",65,4.4
"Female","Asian",70,5.2
"Female","Asian",75,7.8
"Female","Asian",80,21.6
"Female","Black",0,20.3
"Female","Black",5,4.9
"Female","Black",10,6.5
"Female","Black",15,15.5
"Female","Black",20,21.4
"Female","Black",25,23.8
"Female","Black",30,31
"Female","Black",35,39.9
"Female","Black",40,45.6
"Female","Black",45,65
"Female","Black",50,81.3
"Female","Black",55,98.5
"Female","Black",60,116.3
"Female","Black",65,130
"Female","Black",70,146.2
"Female","Black",75,159.2
"Female","Black",80,415.6
"Female","Brown",0,605.6
"Female","Brown",5,52.7
"Female","Brown",10,62.4
"Female","Brown",15,117.1
"Female","Brown",20,131.1
"Female","Brown",25,162.3
"Female","Brown",30,212.7
"Female","Brown",35,240
"Female","Brown",40,279
"Female","Brown",45,346.2
"Female","Brown",50,437.4
"Female","Brown",55,540.8
"Female","Brown",60,665.7
"Female","Brown",65,764
"Female","Brown",70,870.3
"Female","Brown",75,928.6
"Female","Brown",80,2402.8
"Female","Indigenous",0,29.7
"Female","Indigenous",5,2.2
"Female","Indigenous",10,1.8
"Female","Indigenous",15,3.3
"Female","Indigenous",20,2.2
"Female","Indigenous",25,2.2
"Female","Indigenous",30,2.7
"Female","Indigenous",35,2.5
"Female","Indigenous",40,2.5
"Female","Indigenous",45,2.1
"Female","Indigenous",50,2.3
"Female","Indigenous",55,3.3
"Female","Indigenous",60,2.4
"Female","Indigenous",65,2.3
"Female","Indigenous",70,6.2
"Female","Indigenous",75,4.3
"Female","Indigenous",80,20.1
"Female","White",0,152.1
"Female","White",5,13.7
"Female","White",10,18.4
"Female","White",15,31.7
"Female","White",20,34.4
"Female","White",25,40.3
"Female","White",30,52.9
"Female","White",35,61.3
"Female","White",40,66.4
"Female","White",45,89.8
"Female","White",50,110.3
"Female","White",55,147.3
"Female","White",60,186.5
"Female","White",65,242.6
"Female","White",70,308.6
"Female","White",75,377.3
"Female","White",80,1253.3
"Male","All_races",0,1040.3
"Male","All_races",5,102.9
"Male","All_races",10,147.8
"Male","All_races",15,593.2
"Male","All_races",20,876.2
"Male","All_races",25,927.8
"Male","All_races",30,896.3
"Male","All_races",35,881.8
"Male","All_races",40,829.9
"Male","All_races",45,883.9
"Male","All_races",50,998.1
"Male","All_races",55,1155.8
"Male","All_races",60,1373.4
"Male","All_races",65,1617.5
"Male","All_races",70,1798.5
"Male","All_races",75,1878.1
"Male","All_races",80,4143.9
"Male","Asian",0,3.1
"Male","Asian",5,0.3
"Male","Asian",10,0.1
"Male","Asian",15,1.9
"Male","Asian",20,2.7
"Male","Asian",25,2.5
"Male","Asian",30,2.3
"Male","Asian",35,2.2
"Male","Asian",40,2.4
"Male","Asian",45,2.9
"Male","Asian",50,3.2
"Male","Asian",55,3.7
"Male","Asian",60,5.1
"Male","Asian",65,4.8
"Male","Asian",70,6.4
"Male","Asian",75,8.2
"Male","Asian",80,17.7
"Male","Black",0,30
"Male","Black",5,7.6
"Male","Black",10,12.5
"Male","Black",15,64.2
"Male","Black",20,106.8
"Male","Black",25,115.6
"Male","Black",30,116.6
"Male","Black",35,111.1
"Male","Black",40,103.7
"Male","Black",45,106.7
"Male","Black",50,127.3
"Male","Black",55,150
"Male","Black",60,184
"Male","Black",65,210.5
"Male","Black",70,231.4
"Male","Black",75,236.8
"Male","Black",80,455.2
"Male","Brown",0,801.7
"Male","Brown",5,75.6
"Male","Brown",10,111
"Male","Brown",15,455.7
"Male","Brown",20,663.2
"Male","Brown",25,698.7
"Male","Brown",30,665.3
"Male","Brown",35,657.4
"Male","Brown",40,611.5
"Male","Brown",45,653.3
"Male","Brown",50,724.5
"Male","Brown",55,820.4
"Male","Brown",60,955.7
"Male","Brown",65,1111.2
"Male","Brown",70,1203.6
"Male","Brown",75,1222.1
"Male","Brown",80,2606.5
"Male","Indigenous",0,37.6
"Male","Indigenous",5,2.2
"Male","Indigenous",10,2.1
"Male","Indigenous",15,4
"Male","Indigenous",20,4.3
"Male","Indigenous",25,5.6
"Male","Indigenous",30,5.1
"Male","Indigenous",35,4.7
"Male","Indigenous",40,3.3
"Male","Indigenous",45,3.7
"Male","Indigenous",50,3.8
"Male","Indigenous",55,3.5
"Male","Indigenous",60,4.5
"Male","Indigenous",65,3.2
"Male","Indigenous",70,5.8
"Male","Indigenous",75,6
"Male","Indigenous",80,21.9
"Male","White",0,167.9
"Male","White",5,17.2
"Male","White",10,22.1
"Male","White",15,67.4
"Male","White",20,99.2
"Male","White",25,105.4
"Male","White",30,107
"Male","White",35,106.4
"Male","White",40,109
"Male","White",45,117.3
"Male","White",50,139.3
"Male","White",55,178.2
"Male","White",60,224.1
"Male","White",65,287.8
"Male","White",70,351.3
"Male","White",75,405
"Male","White",80,1042.6
