"sex","race","age_x","D"
"Female","Asian",0,2.72477064220183
"Female","Asian",5,1.04
"Female","Asian",10,1.1
"Female","Asian",15,1.59677419354839
"Female","Asian",20,1.49411764705882
"Female","Asian",25,1.65934065934066
"Female","Asian",30,2.34020618556701
"Female","Asian",35,3.00925925925926
"Female","Asian",40,3.99152542372881
"Female","Asian",45,5.6
"Female","Asian",50,7.83471074380165
"Female","Asian",55,11.396694214876
"Female","Asian",60,15.9504132231405
"Female","Asian",65,21.7685950413223
"Female","Asian",70,28.6942148760331
"Female","Asian",75,37.4049586776859
"Female","Asian",80,156.289256198347
"Female","White",0,627.867768595041
"Female","White",5,47.4628099173554
"Female","White",10,59.5454545454545
"Female","White",15,117.280991735537
"Female","White",20,157.338842975207
"Female","White",25,193.867768595041
"Female","White",30,270.677685950413
"Female","White",35,377.305785123967
"Female","White",40,510.859504132231
"Female","White",45,713.925619834711
"Female","White",50,1008.33884297521
"Female","White",55,1403.09090909091
"Female","White",60,1839.85123966942
"Female","White",65,2297.33884297521
"Female","White",70,2754.9173553719
"Female","White",75,3337.93388429752
"Female","White",80,12054.4214876033
"Female","Indigenous",0,34.297520661157
"Female","Indigenous",5,2.72222222222222
"Female","Indigenous",10,2.88888888888889
"Female","Indigenous",15,4.40495867768595
"Female","Indigenous",20,3.57627118644068
"Female","Indigenous",25,3.2436974789916
"Female","Indigenous",30,3.92372881355932
"Female","Indigenous",35,4.23529411764706
"Female","Indigenous",40,4.60330578512397
"Female","Indigenous",45,5.16806722689076
"Female","Indigenous",50,5.53719008264463
"Female","Indigenous",55,6.70247933884298
"Female","Indigenous",60,7.36363636363636
"Female","Indigenous",65,8.14049586776859
"Female","Indigenous",70,10.6198347107438
"Female","Indigenous",75,11.3553719008264
"Female","Indigenous",80,36.0743801652893
"Female","Brown",0,711.03305785124
"Female","Brown",5,55.5950413223141
"Female","Brown",10,73.7933884297521
"Female","Brown",15,155.99173553719
"Female","Brown",20,194.892561983471
"Female","Brown",25,229.859504132231
"Female","Brown",30,309.057851239669
"Female","Brown",35,422.206611570248
"Female","Brown",40,544.413223140496
"Female","Brown",45,702.644628099174
"Female","Brown",50,900.876033057851
"Female","Brown",55,1131.85950413223
"Female","Brown",60,1349.40495867769
"Female","Brown",65,1547.94214876033
"Female","Brown",70,1687.87603305785
"Female","Brown",75,1822.78512396694
"Female","Brown",80,5059.42148760331
"Female","Black",0,41.1570247933884
"Female","Black",5,5.73333333333333
"Female","Black",10,8.6198347107438
"Female","Black",15,21.2727272727273
"Female","Black",20,31.9338842975207
"Female","Black",25,44.1818181818182
"Female","Black",30,64.2892561983471
"Female","Black",35,94.2727272727273
"Female","Black",40,126.123966942149
"Female","Black",45,168.140495867769
"Female","Black",50,225.148760330579
"Female","Black",55,290.330578512397
"Female","Black",60,349.884297520661
"Female","Black",65,385.454545454545
"Female","Black",70,405.01652892562
"Female","Black",75,416.305785123967
"Female","Black",80,1140.25619834711
"Male","Asian",0,3.76991150442478
"Male","Asian",5,1.17647058823529
"Male","Asian",10,1.28947368421053
"Male","Asian",15,2.47169811320755
"Male","Asian",20,3.23684210526316
"Male","Asian",25,3.25423728813559
"Male","Asian",30,4
"Male","Asian",35,4.90909090909091
"Male","Asian",40,6.54545454545455
"Male","Asian",45,8.85950413223141
"Male","Asian",50,12.3801652892562
"Male","Asian",55,18.6942148760331
"Male","Asian",60,26.3884297520661
"Male","Asian",65,34.5785123966942
"Male","Asian",70,44.2644628099174
"Male","Asian",75,49.6694214876033
"Male","Asian",80,132.528925619835
"Male","White",0,744.280991735537
"Male","White",5,59.1239669421488
"Male","White",10,79.2727272727273
"Male","White",15,337.074380165289
"Male","White",20,515.314049586777
"Male","White",25,520.140495867769
"Male","White",30,585.520661157025
"Male","White",35,697.859504132231
"Male","White",40,862.413223140496
"Male","White",45,1159.47933884298
"Male","White",50,1653.38016528926
"Male","White",55,2236.19008264463
"Male","White",60,2777.14049586777
"Male","White",65,3194.14049586777
"Male","White",70,3452.62809917355
"Male","White",75,3578.04958677686
"Male","White",80,8275.20661157025
"Male","Indigenous",0,41.1818181818182
"Male","Indigenous",5,2.92792792792793
"Male","Indigenous",10,3.57391304347826
"Male","Indigenous",15,8.34710743801653
"Male","Indigenous",20,9.09917355371901
"Male","Indigenous",25,7.32231404958678
"Male","Indigenous",30,6.99173553719008
"Male","Indigenous",35,7.45454545454545
"Male","Indigenous",40,7.41666666666667
"Male","Indigenous",45,7.75833333333333
"Male","Indigenous",50,8.82644628099174
"Male","Indigenous",55,8.88333333333333
"Male","Indigenous",60,10.404958677686
"Male","Indigenous",65,11.1735537190083
"Male","Indigenous",70,11.9338842975207
"Male","Indigenous",75,12.7768595041322
"Male","Indigenous",80,35.1157024793388
"Male","Brown",0,912.768595041322
"Male","Brown",5,78.0082644628099
"Male","Brown",10,128.487603305785
"Male","Brown",15,813.776859504132
"Male","Brown",20,1133.98347107438
"Male","Brown",25,1028.71074380165
"Male","Brown",30,1027.76859504132
"Male","Brown",35,1094.79338842975
"Male","Brown",40,1191.22314049587
"Male","Brown",45,1383.61983471074
"Male","Brown",50,1662.50413223141
"Male","Brown",55,1925.12396694215
"Male","Brown",60,2118.12396694215
"Male","Brown",65,2230.3305785124
"Male","Brown",70,2228.60330578512
"Male","Brown",75,2144.33884297521
"Male","Brown",80,4393.54545454545
"Male","Black",0,49.7685950413223
"Male","Black",5,7.09090909090909
"Male","Black",10,15.1157024793388
"Male","Black",15,103.057851239669
"Male","Black",20,154.04132231405
"Male","Black",25,152.099173553719
"Male","Black",30,168.98347107438
"Male","Black",35,199.01652892562
"Male","Black",40,238.545454545455
"Male","Black",45,294.198347107438
"Male","Black",50,377.917355371901
"Male","Black",55,462.96694214876
"Male","Black",60,523.900826446281
"Male","Black",65,540.231404958678
"Male","Black",70,521.03305785124
"Male","Black",75,474.347107438017
"Male","Black",80,919.438016528926
