"Year","Month","sex","race","age_x","obitos"
2010,7,"Female","Asian",0,1
2010,7,"Female","Asian",70,3
2010,7,"Female","Asian",75,1
2010,7,"Female","Asian",80,1
2010,7,"Male","Asian",45,1
2010,7,"Male","Asian",65,2
2010,7,"Male","Asian",75,1
2010,7,"Male","Asian",80,3
2010,7,"Female","Black",0,4
2010,7,"Female","Black",15,2
2010,7,"Female","Black",20,3
2010,7,"Female","Black",25,2
2010,7,"Female","Black",30,2
2010,7,"Female","Black",35,3
2010,7,"Female","Black",40,6
2010,7,"Female","Black",45,4
2010,7,"Female","Black",50,3
2010,7,"Female","Black",55,5
2010,7,"Female","Black",60,5
2010,7,"Female","Black",65,7
2010,7,"Female","Black",70,10
2010,7,"Female","Black",75,4
2010,7,"Female","Black",80,26
2010,7,"Male","Black",0,6
2010,7,"Male","Black",5,1
2010,7,"Male","Black",15,1
2010,7,"Male","Black",20,7
2010,7,"Male","Black",25,3
2010,7,"Male","Black",30,6
2010,7,"Male","Black",35,5
2010,7,"Male","Black",40,8
2010,7,"Male","Black",45,4
2010,7,"Male","Black",50,13
2010,7,"Male","Black",55,5
2010,7,"Male","Black",60,7
2010,7,"Male","Black",65,7
2010,7,"Male","Black",70,11
2010,7,"Male","Black",75,16
2010,7,"Male","Black",80,37
2010,7,"Female","Brown",0,51
2010,7,"Female","Brown",5,4
2010,7,"Female","Brown",10,5
2010,7,"Female","Brown",15,9
2010,7,"Female","Brown",20,5
2010,7,"Female","Brown",25,12
2010,7,"Female","Brown",30,16
2010,7,"Female","Brown",35,19
2010,7,"Female","Brown",40,18
2010,7,"Female","Brown",45,25
2010,7,"Female","Brown",50,30
2010,7,"Female","Brown",55,29
2010,7,"Female","Brown",60,36
2010,7,"Female","Brown",65,36
2010,7,"Female","Brown",70,64
2010,7,"Female","Brown",75,52
2010,7,"Female","Brown",80,128
2010,7,"Male","Brown",0,70
2010,7,"Male","Brown",5,4
2010,7,"Male","Brown",10,8
2010,7,"Male","Brown",15,19
2010,7,"Male","Brown",20,49
2010,7,"Male","Brown",25,55
2010,7,"Male","Brown",30,48
2010,7,"Male","Brown",35,32
2010,7,"Male","Brown",40,34
2010,7,"Male","Brown",45,34
2010,7,"Male","Brown",50,47
2010,7,"Male","Brown",55,62
2010,7,"Male","Brown",60,73
2010,7,"Male","Brown",65,81
2010,7,"Male","Brown",70,75
2010,7,"Male","Brown",75,69
2010,7,"Male","Brown",80,121
2010,7,"Female","Indigenous",0,3
2010,7,"Female","Indigenous",75,1
2010,7,"Male","Indigenous",0,4
2010,7,"Male","Indigenous",10,1
2010,7,"Male","Indigenous",15,2
2010,7,"Male","Indigenous",55,1
