"sex","race","age_x","N_t1","N_t2"
"Female","Asian",0,53894,14525
"Female","Asian",5,62098,17162
"Female","Asian",10,71709,18982
"Female","Asian",15,88107,23245
"Female","Asian",20,97992,27311
"Female","Asian",25,102398,28283
"Female","Asian",30,96049,30486
"Female","Asian",35,79922,34742
"Female","Asian",40,71346,36574
"Female","Asian",45,65306,32257
"Female","Asian",50,56362,29949
"Female","Asian",55,50599,29795
"Female","Asian",60,44613,28095
"Female","Asian",65,36262,27743
"Female","Asian",70,28822,26907
"Female","Asian",75,21049,21622
"Female","Asian",80,25422,28804
"Female","Black",0,349921,424916
"Female","Black",5,449559,524509
"Female","Black",10,554264,562277
"Female","Black",15,640038,706729
"Female","Black",20,686136,864165
"Female","Black",25,736117,902965
"Female","Black",30,718190,873567
"Female","Black",35,616925,922729
"Female","Black",40,563439,898303
"Female","Black",45,526923,779890
"Female","Black",50,475299,696061
"Female","Black",55,389621,624524
"Female","Black",60,306922,539775
"Female","Black",65,228387,424424
"Female","Black",70,173044,310325
"Female","Black",75,125042,204224
"Female","Black",80,144278,240500
"Female","Brown",0,3212422,3143091
"Female","Brown",5,3666785,3519453
"Female","Brown",10,4129143,3623290
"Female","Brown",15,4100284,3723965
"Female","Brown",20,3863901,3928115
"Female","Brown",25,3874210,3960476
"Female","Brown",30,3719669,3869796
"Female","Brown",35,3203843,3942886
"Female","Brown",40,2842516,3752168
"Female","Brown",45,2579083,3231033
"Female","Brown",50,2199658,2849574
"Female","Brown",55,1769910,2544742
"Female","Brown",60,1359059,2104406
"Female","Brown",65,997175,1613913
"Female","Brown",70,739116,1153833
"Female","Brown",75,516502,762326
"Female","Brown",80,580665,859343
"Female","Indigenous",0,55970,72607
"Female","Indigenous",5,54067,68876
"Female","Indigenous",10,50811,65995
"Female","Indigenous",15,45790,63102
"Female","Indigenous",20,39351,58823
"Female","Indigenous",25,35368,50835
"Female","Indigenous",30,31813,44078
"Female","Indigenous",35,26292,40515
"Female","Indigenous",40,21944,35543
"Female","Indigenous",45,19762,29535
"Female","Indigenous",50,16571,24854
"Female","Indigenous",55,14184,21795
"Female","Indigenous",60,11526,18150
"Female","Indigenous",65,9055,14361
"Female","Indigenous",70,6679,10590
"Female","Indigenous",75,4687,7838
"Female","Indigenous",80,6475,10375
"Female","White",0,3481124,3092509
"Female","White",5,3337149,2987385
"Female","White",10,3479260,2842712
"Female","White",15,3715497,3017617
"Female","White",20,3844396,3240724
"Female","White",25,4044491,3331945
"Female","White",30,3979166,3420894
"Female","White",35,3544104,3633309
"Female","White",40,3356813,3638847
"Female","White",45,3272085,3216781
"Female","White",50,2947573,3040266
"Female","White",55,2506014,2955953
"Female","White",60,2023705,2635511
"Female","White",65,1547371,2188413
"Female","White",70,1228746,1719547
"Female","White",75,961381,1238532
"Female","White",80,1218578,1608516
"Male","Asian",0,57715,15283
"Male","Asian",5,64726,18324
"Male","Asian",10,67723,19462
"Male","Asian",15,70180,21846
"Male","Asian",20,75182,24381
"Male","Asian",25,79369,25557
"Male","Asian",30,76132,28303
"Male","Asian",35,64200,32124
"Male","Asian",40,57730,33416
"Male","Asian",45,53892,29036
"Male","Asian",50,47680,27189
"Male","Asian",55,43259,26265
"Male","Asian",60,38613,24652
"Male","Asian",65,31307,24075
"Male","Asian",70,25103,22515
"Male","Asian",75,16986,17438
"Male","Asian",80,17680,20175
"Male","Black",0,384784,449920
"Male","Black",5,504990,558466
"Male","Black",10,617877,621159
"Male","Black",15,710906,798197
"Male","Black",20,759821,975699
"Male","Black",25,825197,1016225
"Male","Black",30,813913,983854
"Male","Black",35,697947,1016903
"Male","Black",40,622715,982063
"Male","Black",45,561160,838483
"Male","Black",50,484510,721956
"Male","Black",55,382208,614356
"Male","Black",60,288748,498940
"Male","Black",65,207289,369645
"Male","Black",70,146425,255898
"Male","Black",75,96889,161402
"Male","Black",80,97712,162212
"Male","Brown",0,3403992,3304992
"Male","Brown",5,3883031,3697550
"Male","Brown",10,4280769,3813402
"Male","Brown",15,4196105,3964656
"Male","Brown",20,3899304,4041071
"Male","Brown",25,3820684,3901577
"Male","Brown",30,3601977,3750024
"Male","Brown",35,3094647,3822544
"Male","Brown",40,2722153,3598829
"Male","Brown",45,2418125,3069937
"Male","Brown",50,2042314,2654000
"Male","Brown",55,1622506,2293204
"Male","Brown",60,1236309,1856967
"Male","Brown",65,897251,1395115
"Male","Brown",70,637229,968133
"Male","Brown",75,416831,612240
"Male","Brown",80,416945,597447
"Male","Indigenous",0,58421,75909
"Male","Indigenous",5,56008,72473
"Male","Indigenous",10,52080,68976
"Male","Indigenous",15,46162,66029
"Male","Indigenous",20,40354,60225
"Male","Indigenous",25,36236,50993
"Male","Indigenous",30,31990,44298
"Male","Indigenous",35,26730,40444
"Male","Indigenous",40,22075,35294
"Male","Indigenous",45,19446,29643
"Male","Indigenous",50,16038,24184
"Male","Indigenous",55,13088,20270
"Male","Indigenous",60,10338,16643
"Male","Indigenous",65,7939,12492
"Male","Indigenous",70,5964,8977
"Male","Indigenous",75,4014,5918
"Male","Indigenous",80,4640,7199
"Male","White",0,3587742,3226064
"Male","White",5,3413154,3122927
"Male","White",10,3522765,2938051
"Male","White",15,3616647,3016009
"Male","White",20,3666576,3175188
"Male","White",25,3814201,3198293
"Male","White",30,3675137,3226841
"Male","White",35,3216433,3328656
"Male","White",40,2997128,3240811
"Male","White",45,2895667,2819178
"Male","White",50,2593874,2621146
"Male","White",55,2189346,2510317
"Male","White",60,1738974,2191648
"Male","White",65,1281782,1751619
"Male","White",70,946233,1308237
"Male","White",75,665729,872290
"Male","White",80,690503,909035
