"sex","race","age_x","N_t1"
"Female","Asian",0,53894
"Female","Asian",5,62098
"Female","Asian",10,71709
"Female","Asian",15,88107
"Female","Asian",20,97992
"Female","Asian",25,102398
"Female","Asian",30,96049
"Female","Asian",35,79922
"Female","Asian",40,71346
"Female","Asian",45,65306
"Female","Asian",50,56362
"Female","Asian",55,50599
"Female","Asian",60,44613
"Female","Asian",65,36262
"Female","Asian",70,28822
"Female","Asian",75,21049
"Female","Asian",80,25422
"Female","White",0,3481124
"Female","White",5,3337149
"Female","White",10,3479260
"Female","White",15,3715497
"Female","White",20,3844396
"Female","White",25,4044491
"Female","White",30,3979166
"Female","White",35,3544104
"Female","White",40,3356813
"Female","White",45,3272085
"Female","White",50,2947573
"Female","White",55,2506014
"Female","White",60,2023705
"Female","White",65,1547371
"Female","White",70,1228746
"Female","White",75,961381
"Female","White",80,1218578
"Female","Indigenous",0,55970
"Female","Indigenous",5,54067
"Female","Indigenous",10,50811
"Female","Indigenous",15,45790
"Female","Indigenous",20,39351
"Female","Indigenous",25,35368
"Female","Indigenous",30,31813
"Female","Indigenous",35,26292
"Female","Indigenous",40,21944
"Female","Indigenous",45,19762
"Female","Indigenous",50,16571
"Female","Indigenous",55,14184
"Female","Indigenous",60,11526
"Female","Indigenous",65,9055
"Female","Indigenous",70,6679
"Female","Indigenous",75,4687
"Female","Indigenous",80,6475
"Female","Brown",0,3212422
"Female","Brown",5,3666785
"Female","Brown",10,4129143
"Female","Brown",15,4100284
"Female","Brown",20,3863901
"Female","Brown",25,3874210
"Female","Brown",30,3719669
"Female","Brown",35,3203843
"Female","Brown",40,2842516
"Female","Brown",45,2579083
"Female","Brown",50,2199658
"Female","Brown",55,1769910
"Female","Brown",60,1359059
"Female","Brown",65,997175
"Female","Brown",70,739116
"Female","Brown",75,516502
"Female","Brown",80,580665
"Female","Black",0,349921
"Female","Black",5,449559
"Female","Black",10,554264
"Female","Black",15,640038
"Female","Black",20,686136
"Female","Black",25,736117
"Female","Black",30,718190
"Female","Black",35,616925
"Female","Black",40,563439
"Female","Black",45,526923
"Female","Black",50,475299
"Female","Black",55,389621
"Female","Black",60,306922
"Female","Black",65,228387
"Female","Black",70,173044
"Female","Black",75,125042
"Female","Black",80,144278
"Male","Asian",0,57715
"Male","Asian",5,64726
"Male","Asian",10,67723
"Male","Asian",15,70180
"Male","Asian",20,75182
"Male","Asian",25,79369
"Male","Asian",30,76132
"Male","Asian",35,64200
"Male","Asian",40,57730
"Male","Asian",45,53892
"Male","Asian",50,47680
"Male","Asian",55,43259
"Male","Asian",60,38613
"Male","Asian",65,31307
"Male","Asian",70,25103
"Male","Asian",75,16986
"Male","Asian",80,17680
"Male","White",0,3587742
"Male","White",5,3413154
"Male","White",10,3522765
"Male","White",15,3616647
"Male","White",20,3666576
"Male","White",25,3814201
"Male","White",30,3675137
"Male","White",35,3216433
"Male","White",40,2997128
"Male","White",45,2895667
"Male","White",50,2593874
"Male","White",55,2189346
"Male","White",60,1738974
"Male","White",65,1281782
"Male","White",70,946233
"Male","White",75,665729
"Male","White",80,690503
"Male","Indigenous",0,58421
"Male","Indigenous",5,56008
"Male","Indigenous",10,52080
"Male","Indigenous",15,46162
"Male","Indigenous",20,40354
"Male","Indigenous",25,36236
"Male","Indigenous",30,31990
"Male","Indigenous",35,26730
"Male","Indigenous",40,22075
"Male","Indigenous",45,19446
"Male","Indigenous",50,16038
"Male","Indigenous",55,13088
"Male","Indigenous",60,10338
"Male","Indigenous",65,7939
"Male","Indigenous",70,5964
"Male","Indigenous",75,4014
"Male","Indigenous",80,4640
"Male","Brown",0,3403992
"Male","Brown",5,3883031
"Male","Brown",10,4280769
"Male","Brown",15,4196105
"Male","Brown",20,3899304
"Male","Brown",25,3820684
"Male","Brown",30,3601977
"Male","Brown",35,3094647
"Male","Brown",40,2722153
"Male","Brown",45,2418125
"Male","Brown",50,2042314
"Male","Brown",55,1622506
"Male","Brown",60,1236309
"Male","Brown",65,897251
"Male","Brown",70,637229
"Male","Brown",75,416831
"Male","Brown",80,416945
"Male","Black",0,384784
"Male","Black",5,504990
"Male","Black",10,617877
"Male","Black",15,710906
"Male","Black",20,759821
"Male","Black",25,825197
"Male","Black",30,813913
"Male","Black",35,697947
"Male","Black",40,622715
"Male","Black",45,561160
"Male","Black",50,484510
"Male","Black",55,382208
"Male","Black",60,288748
"Male","Black",65,207289
"Male","Black",70,146425
"Male","Black",75,96889
"Male","Black",80,97712
